source,target,weight
5132,PAM2020,1
5132,PressupostosParticipatius,3
5133,pam,1
5136,PressupostosParticipatius,1
5136,pam,1
5137,pam,1
5158,pam,1
5159,pam,14
5172,PAM2020,1
5172,pam,2
5175,pam,3
5185,pam,9
5187,pam,1
5196,pam,8
5200,PressupostosParticipatius,1
5207,pam,3
5217,pam,1
5221,pam,2
5235,pam,2
5238,PressupostosParticipatius,3
5242,pam,26
5245,PressupostosParticipatius,1
5254,pam,6
5258,PressupostosParticipatius,1
5259,pam,2
5270,pam,1
5288,pam,5
5296,pam,1
5304,pam,2
5307,pam,19
5312,canviempelclima,3
5313,pam,3
5318,pam,1
5322,pam,1
5329,pam,3
5347,pam,1
5348,pam,1
5352,pam,1
5354,pam,1
5357,pam,15
5359,pam,2
5382,pam,1
5414,pam,2
5420,pam,2
5427,pam,5
5429,pam,1
5436,pam,1
5441,pam,2
5446,pam,2
5466,pam,1
5471,pam,1
5475,pam,1
5480,pam,4
5483,PEBVallcarcaPenitentsColl,5
5483,PlaNaturaBCN,9
5483,canviempelclima,21
5483,pam,20
5488,pam,1
5489,pam,1
5490,PressupostosParticipatius,1
5495,PAM2020,4
5512,Poblesec,1
5518,pam,1
5519,pam,8
5530,pam,1
5532,pam,1
5536,PressupostosParticipatius,1
5537,pam,3
5546,pam,14
5557,pam,1
5558,PAM2020,3
5558,PressupostosParticipatius,3
5558,pam,2
5584,pam,2
5595,pam,2
5613,pam,2
5623,pam,3
5646,PressupostosParticipatius,6
5661,mpgmlaclota,1
5661,mpgmteixonera,1
5661,pam,1
5664,mpgmteixonera,1
5664,pam,1
5667,pam,4
5672,pam,1
5674,pam,1
5685,pam,1
5690,pam,1
5703,pam,1
5705,pam,2
5713,pam,1
5718,PressupostosParticipatius,1
5718,pam,2
5723,pam,2
5727,pam,1
5733,pam,1
5742,PAM2020,1
5742,PressupostosParticipatius,4
5757,pam,1
5760,pam,1
5786,pam,2
5808,pam,1
5810,ServeiClavegueramBCN,3
5813,pam,1
5827,pam,1
5832,pam,1
5839,PAM2020,3
5839,pam,4
5847,pam,1
5858,pam,1
5860,PAM2020,2
5860,pam,2
5864,PAM2020,1
5868,pam,8
5877,pam,1
5879,pam,1
5881,pam,2
5887,PressupostosParticipatius,3
5888,pam,1
5896,pam,29
5906,pam,1
5907,pam,1
5908,pam,11
5909,PressupostosParticipatius,3
5910,PressupostosParticipatius,1
5915,pam,3
5919,pam,1
5924,pam,1
5926,plapoudelafiguera,5
5948,pam,1
5950,PMU2025-2030,3
5950,PressupostosParticipatius,8
5950,canviempelclima,16
5950,pam,12
5950,zonabaixesemissions,8
5995,pam,1
6010,pam,1
6018,pam,1
6019,pam,1
6034,PAM2020,1
6041,pam,1
6044,pam,2
6073,PressupostosParticipatius,1
6074,pam,6
6118,pam,1
6137,pam,1
6140,pam,3
6148,pam,1
6165,pam,1
6169,pam,2
6174,pam,1
6179,PAM2020,1
6185,pam,13
6187,PAM2020,1
6187,pam,5
6190,PressupostosParticipatius,2
6207,pam,1
6211,PressupostosParticipatius,1
6211,pam,3
6213,pam,8
6217,pam,1
6219,pam,1
6254,TrinitatVella,1
6254,pam,2
6270,PlaBCNCiencia2023,1
6282,PressupostosParticipatius,1
6314,pam,2
6316,pam,1
6317,pam,1
6339,pam,2
6340,pam,4
6350,PAM2020,1
6350,pam,1
6358,pam,1
6360,PressupostosParticipatius,3
6370,pam,1
6372,pam,9
6401,pam,1
6413,PAM2020,2
6413,pam,2
6430,pam,1
6431,pam,1
6433,PAM2020,1
6437,pam,1
6440,pam,1
6453,pam,1
6458,pam,1
6461,pam,1
6468,pam,1
6469,pam,3
6473,pam,1
6476,pam,1
6482,pam,1
6504,pam,1
6505,pam,1
6508,PAM2020,1
6514,pam,43
6522,PAM2020,2
6522,pam,2
6534,pam,1
6538,pam,2
6547,pam,1
6560,pam,1
6577,pam,1
6582,pam,1
6584,pam,4
6589,pam,2
6591,pam,2
6592,pam,3
6599,pam,3
6604,pam,4
6618,pam,1
6635,pam,2
6646,pam,1
6651,pam,1
6658,PressupostosParticipatius,2
6658,RoquetesiVerdun,1
6658,canviempelclima,5
6658,eixverdpereiv,1
6658,pam,22
6665,pam,2
6669,PressupostosParticipatius,1
6683,pam,2
6695,pam,4
6697,pam,1
6698,PAM2020,1
6701,pam,1
6712,pam,1
6715,PAM2020,1
6739,pam,94
6742,pam,1
6750,pam,2
6762,pam,14
6766,pam,1
6776,pam,1
6796,pam,2
6818,pam,1
6821,pam,2
6825,pam,2
6830,pam,1
6831,pam,1
6832,pam,1
6845,pam,1
6873,pam,1
6874,pam,1
6885,pam,5
6898,pam,3
6912,pam,1
6913,pam,1
6915,pam,6
6918,pam,1
6919,pam,1
6920,pam,17
6921,pam,1
6922,PlaLitoralBCN,1
6926,PressupostosParticipatius,1
6926,pam,1
6949,PAM2020,1
6949,pam,6
6955,pam,1
6956,pam,1
6968,pam,2
6973,PressupostosParticipatius,7
6973,pam,2
6991,pam,1
7017,pam,1
7042,pam,1
7044,pam,1
7064,pam,2
7069,pam,1
7073,pam,5
7075,pam,1
7092,pam,1
7099,pam,1
7113,pam,1
7115,pam,1
7121,pam,1
7123,pam,1
7132,pam,2
7134,pam,1
7141,pam,4
7144,pam,1
7164,pam,5
7171,pam,1
7176,pam,4
7180,pam,2
7187,pam,8
7189,metadecidim,3
7190,pam,12
7193,pam,9
7196,pam,1
7211,pam,2
7213,pam,1
7217,pam,2
7219,pam,1
7229,pam,77
7230,pam,1
7238,PressupostosParticipatius,2
7252,pam,2
7253,pam,1
7264,pam,2
7268,pam,9
7273,PressupostosParticipatius,1
7274,pam,2
7277,pam,1
7284,pam,1
7293,pam,1
7299,pam,1
7303,pam,1
7305,pam,1
7311,pam,11
7323,pam,1
7329,PressupostosParticipatius,2
7329,pam,3
7331,pam,1
7333,pam,2
7334,pam,1
7335,pam,1
7337,pam,1
7351,pam,1
7369,pam,1
7375,pam,2
7377,pam,2
7440,pam,11
7443,PressupostosParticipatius,1
7447,pam,4
7461,PAM2020,1
7461,PressupostosParticipatius,3
7461,pam,1
7470,pam,11
7471,pam,1
7476,pam,4
7479,pam,1
7480,pam,2
7482,PAM2020,2
7482,PMU2025-2030,1
7482,PressupostosParticipatius,2
7482,pam,44
7482,patrimonigracia,5
7498,pam,1
7499,pam,1
7500,pam,3
7506,pam,1
7526,pam,1
7533,PAM2020,1
7537,pam,1
7541,pam,1
7542,pam,2
7543,pam,2
7550,PAM2020,1
7557,pam,1
7558,pam,1
7572,pam,4
7573,pam,3
7586,futurmontjuic,1
7586,pam,1
7588,pam,1
7595,pam,1
7602,pam,3
7607,pam,4
7614,pam,2
7631,pam,1
7637,pam,11
7643,pam,1
7655,pam,1
7662,pam,2
7669,pam,4
7671,PressupostosParticipatius,1
7672,pam,7
7679,pam,1
7684,pam,1
7684,plaequipamentssantscentre,1
7703,ordenancaconvivencia,1
7703,pam,1
7729,plaequipamentssantscentre,1
7747,pam,6
7757,pam,1
