id,Label,modularity_class_str,modularity_class,frecuency
7972,,B,12,1
8032,,B,12,2
8022,,B,12,1
8017,,B,12,1
8028,,B,12,2
320,,A,14,10
5723,,B,12,2
8061,,B,12,3
9566,,B,12,12
9985,,B,12,6
8078,,B,12,4
9535,,B,12,3
8086,,B,12,3
8077,,B,12,1
8088,,B,12,2
8084,,B,12,2
1497,,B,12,6
8923,,B,12,7
8096,,B,12,1
8103,,B,12,2
7526,,B,12,1
8119,,B,12,1
9923,,B,12,3
8134,,B,12,2
8137,,B,12,1
8126,,B,12,1
8143,,B,12,1
8130,,B,12,2
9623,,B,12,6
8153,,B,12,1
8186,,B,12,1
8067,,B,12,1
8166,,B,12,5
8207,,B,12,1
3175,,B,12,1
2871,,B,12,5
10623,,B,12,1
8185,,B,12,33
8246,,B,12,2
8254,,B,12,1
7193,,B,12,9
8261,,B,12,2
8267,,B,12,4
5471,,B,12,1
1575,,B,12,4
8275,,B,12,1
8279,,B,12,1
827,,B,12,30
878,,B,12,1
8098,,B,12,1
8302,,B,12,2
7498,,B,12,1
8316,,B,12,2
4911,,A,14,19
8360,,B,12,2
8375,,B,12,1
8382,,B,12,1
480,,B,12,2
8697,,B,12,28
8424,,B,12,1
18863,,B,12,8
8437,,B,12,1
8441,,B,12,1
15448,,B,12,1
6591,,B,12,2
8486,,B,12,2
8540,,B,12,1
8536,,B,12,5
8543,,B,12,1
8550,,B,12,11
8578,,B,12,1
7134,,B,12,1
8612,,B,12,9
8600,,B,12,1
8605,,B,12,1
10753,,B,12,1
8631,,B,12,2
9223,,B,12,4
8639,,B,12,3
11236,,B,12,3
8571,,B,12,2
8664,,B,12,4
8665,,B,12,11
8653,,B,12,2
8667,,B,12,1
8557,,B,12,1
8592,,B,12,1
8704,,B,12,1
8726,,A,14,7
8721,,B,12,1
8736,,B,12,1
8738,,B,12,3
8728,,A,14,4
8754,,B,12,9
8750,,B,12,1
8761,,B,12,22
8994,,B,12,1
6635,,B,12,2
8780,,B,12,1
8810,,B,12,4
8842,,B,12,2
8839,,A,14,5
8256,,B,12,1
8850,,B,12,2
8857,,B,12,1
8866,,B,12,3
8870,,B,12,1
8875,,B,12,6
8304,,B,12,1
8893,,B,12,2
14490,,B,12,13
8902,,B,12,1
8924,,B,12,1
8957,,B,12,1
8978,,B,12,1
8989,,B,12,2
2645,,B,12,2
8999,,B,12,2
9002,,B,12,1
9015,,B,12,1
9022,,B,12,15
9025,,B,12,6
11547,,B,12,1
9041,,B,12,1
156,,B,12,1
9054,,B,12,1
9055,,B,12,58
9083,,B,12,1
10675,,B,12,3
8331,,B,12,7
9093,,A,14,2
9100,,B,12,39
